"","stimulusType","stimulusValue","stimulusValueType","cueValue","cueValueType","correctResponse","shiftingType","keyCode1","keyLabel1","keyLabelType1","response1","keyIndex1","keyCode2","keyLabel2","keyLabelType2","response2","keyIndex2"
"1","shape","r_g_08.png","image","shifting_shape.png","image","round","start","ArrowLeft","shifting_round.png","image","round",0,"ArrowRight","shifting_angular.png","image","angular",1
"2","color","r_b_01.png","image","shifting_color.png","image","blue","switch","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"3","color","r_g_16.png","image","shifting_color.png","image","green","repetition","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"4","shape","r_g_13.png","image","shifting_shape.png","image","round","switch","ArrowLeft","shifting_round.png","image","round",0,"ArrowRight","shifting_angular.png","image","angular",1
"5","shape","r_b_15.png","image","shifting_shape.png","image","round","repetition","ArrowLeft","shifting_round.png","image","round",0,"ArrowRight","shifting_angular.png","image","angular",1
"6","color","r_b_02.png","image","shifting_color.png","image","blue","switch","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"7","color","e_g_08.png","image","shifting_color.png","image","green","repetition","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"8","shape","r_g_02.png","image","shifting_shape.png","image","round","switch","ArrowLeft","shifting_round.png","image","round",0,"ArrowRight","shifting_angular.png","image","angular",1
"9","color","r_g_02.png","image","shifting_color.png","image","green","switch","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"10","color","e_b_11.png","image","shifting_color.png","image","blue","repetition","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"11","color","r_g_01.png","image","shifting_color.png","image","green","repetition","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"12","shape","r_g_07.png","image","shifting_shape.png","image","round","switch","ArrowLeft","shifting_round.png","image","round",0,"ArrowRight","shifting_angular.png","image","angular",1
"13","color","r_g_02.png","image","shifting_color.png","image","green","switch","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"14","shape","r_g_08.png","image","shifting_shape.png","image","round","switch","ArrowLeft","shifting_round.png","image","round",0,"ArrowRight","shifting_angular.png","image","angular",1
"15","color","r_b_09.png","image","shifting_color.png","image","blue","switch","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"16","color","r_g_06.png","image","shifting_color.png","image","green","repetition","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"17","shape","r_b_10.png","image","shifting_shape.png","image","round","switch","ArrowLeft","shifting_round.png","image","round",0,"ArrowRight","shifting_angular.png","image","angular",1
"18","shape","r_g_06.png","image","shifting_shape.png","image","round","repetition","ArrowLeft","shifting_round.png","image","round",0,"ArrowRight","shifting_angular.png","image","angular",1
"19","shape","e_b_08.png","image","shifting_shape.png","image","angular","repetition","ArrowLeft","shifting_round.png","image","round",0,"ArrowRight","shifting_angular.png","image","angular",1
"20","color","r_b_06.png","image","shifting_color.png","image","blue","switch","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"21","color","r_b_09.png","image","shifting_color.png","image","blue","repetition","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"22","color","r_g_08.png","image","shifting_color.png","image","green","repetition","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"23","color","r_b_07.png","image","shifting_color.png","image","blue","repetition","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"24","color","r_b_09.png","image","shifting_color.png","image","blue","repetition","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"25","color","r_b_01.png","image","shifting_color.png","image","blue","repetition","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"26","color","r_g_03.png","image","shifting_color.png","image","green","repetition","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"27","shape","r_g_11.png","image","shifting_shape.png","image","round","switch","ArrowLeft","shifting_round.png","image","round",0,"ArrowRight","shifting_angular.png","image","angular",1
"28","color","e_b_13.png","image","shifting_color.png","image","blue","switch","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"29","shape","r_b_04.png","image","shifting_shape.png","image","round","switch","ArrowLeft","shifting_round.png","image","round",0,"ArrowRight","shifting_angular.png","image","angular",1
"30","shape","e_g_16.png","image","shifting_shape.png","image","angular","repetition","ArrowLeft","shifting_round.png","image","round",0,"ArrowRight","shifting_angular.png","image","angular",1
"31","color","r_b_08.png","image","shifting_color.png","image","blue","switch","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"32","color","r_g_14.png","image","shifting_color.png","image","green","repetition","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"33","shape","e_b_09.png","image","shifting_shape.png","image","angular","switch","ArrowLeft","shifting_round.png","image","round",0,"ArrowRight","shifting_angular.png","image","angular",1
"34","color","r_b_13.png","image","shifting_color.png","image","blue","switch","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"35","shape","r_b_11.png","image","shifting_shape.png","image","round","switch","ArrowLeft","shifting_round.png","image","round",0,"ArrowRight","shifting_angular.png","image","angular",1
"36","shape","r_g_11.png","image","shifting_shape.png","image","round","repetition","ArrowLeft","shifting_round.png","image","round",0,"ArrowRight","shifting_angular.png","image","angular",1
"37","color","e_b_10.png","image","shifting_color.png","image","blue","switch","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"38","color","e_g_04.png","image","shifting_color.png","image","green","repetition","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"39","shape","r_b_03.png","image","shifting_shape.png","image","round","switch","ArrowLeft","shifting_round.png","image","round",0,"ArrowRight","shifting_angular.png","image","angular",1
"40","color","r_b_04.png","image","shifting_color.png","image","blue","switch","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"41","shape","r_b_08.png","image","shifting_shape.png","image","round","switch","ArrowLeft","shifting_round.png","image","round",0,"ArrowRight","shifting_angular.png","image","angular",1
"42","color","r_g_15.png","image","shifting_color.png","image","green","switch","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"43","color","r_b_08.png","image","shifting_color.png","image","blue","repetition","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"44","color","r_b_10.png","image","shifting_color.png","image","blue","repetition","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"45","color","r_g_12.png","image","shifting_color.png","image","green","repetition","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"46","shape","e_g_07.png","image","shifting_shape.png","image","angular","switch","ArrowLeft","shifting_round.png","image","round",0,"ArrowRight","shifting_angular.png","image","angular",1
"47","color","e_b_11.png","image","shifting_color.png","image","blue","switch","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"48","color","r_b_16.png","image","shifting_color.png","image","blue","repetition","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"49","color","r_g_14.png","image","shifting_color.png","image","green","repetition","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"50","color","r_b_09.png","image","shifting_color.png","image","blue","repetition","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"51","shape","r_b_05.png","image","shifting_shape.png","image","round","switch","ArrowLeft","shifting_round.png","image","round",0,"ArrowRight","shifting_angular.png","image","angular",1
"52","color","r_g_14.png","image","shifting_color.png","image","green","switch","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"53","color","e_g_11.png","image","shifting_color.png","image","green","repetition","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"54","shape","e_g_06.png","image","shifting_shape.png","image","angular","switch","ArrowLeft","shifting_round.png","image","round",0,"ArrowRight","shifting_angular.png","image","angular",1
"55","shape","e_b_08.png","image","shifting_shape.png","image","angular","repetition","ArrowLeft","shifting_round.png","image","round",0,"ArrowRight","shifting_angular.png","image","angular",1
"56","color","e_b_14.png","image","shifting_color.png","image","blue","switch","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"57","shape","r_b_14.png","image","shifting_shape.png","image","round","switch","ArrowLeft","shifting_round.png","image","round",0,"ArrowRight","shifting_angular.png","image","angular",1
"58","shape","e_b_10.png","image","shifting_shape.png","image","angular","repetition","ArrowLeft","shifting_round.png","image","round",0,"ArrowRight","shifting_angular.png","image","angular",1
"59","color","e_b_09.png","image","shifting_color.png","image","blue","switch","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"60","color","e_b_07.png","image","shifting_color.png","image","blue","repetition","ArrowLeft","shifting_blue.png","image","blue",0,"ArrowRight","shifting_green.png","image","green",1
"61","shape","e_g_11.png","image","shifting_shape.png","image","angular","switch","ArrowLeft","shifting_round.png","image","round",0,"ArrowRight","shifting_angular.png","image","angular",1
"62","shape","r_b_09.png","image","shifting_shape.png","image","round","repetition","ArrowLeft","shifting_round.png","image","round",0,"ArrowRight","shifting_angular.png","image","angular",1
"63","shape","e_g_03.png","image","shifting_shape.png","image","angular","repetition","ArrowLeft","shifting_round.png","image","round",0,"ArrowRight","shifting_angular.png","image","angular",1
"64","shape","e_g_13.png","image","shifting_shape.png","image","angular","repetition","ArrowLeft","shifting_round.png","image","round",0,"ArrowRight","shifting_angular.png","image","angular",1
"65","shape","r_b_06.png","image","shifting_shape.png","image","round","repetition","ArrowLeft","shifting_round.png","image","round",0,"ArrowRight","shifting_angular.png","image","angular",1
