"","keyCount","stimulusType","stimulusValue","stimulusValueType","cueValue","cueValueType","correctResponse","shiftingType","keyCode1","keyLabel1","keyLabelType1","response1","keyIndex1","keyCode2","keyLabel2","keyLabelType2","response2","keyIndex2"
"1",2,"airyness","judgment_02_fish.png","image","cue_airyness.png","image","not flying","start","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"2",2,"airyness","judgment_02_camel.png","image","cue_airyness.png","image","not flying","repetition","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"3",2,"airyness","judgment_02_wood.png","image","cue_airyness.png","image","not flying","repetition","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"4",2,"animacy","judgment_02_butterfly.png","image","cue_animacy.png","image","living","switch","ArrowLeft","shifting_living.png","image","living",0,"ArrowRight","shifting_nonliving.png","image","non-living",1
"5",2,"airyness","judgment_02_arrow.png","image","cue_airyness.png","image","flying","switch","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"6",2,"animacy","judgment_02_fish.png","image","cue_animacy.png","image","living","switch","ArrowLeft","shifting_living.png","image","living",0,"ArrowRight","shifting_nonliving.png","image","non-living",1
"7",2,"animacy","judgment_02_bird.png","image","cue_animacy.png","image","living","repetition","ArrowLeft","shifting_living.png","image","living",0,"ArrowRight","shifting_nonliving.png","image","non-living",1
"8",2,"airyness","judgment_02_bird.png","image","cue_airyness.png","image","flying","switch","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"9",2,"airyness","judgment_02_balloon.png","image","cue_airyness.png","image","flying","repetition","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"10",2,"airyness","judgment_02_banjo.png","image","cue_airyness.png","image","not flying","repetition","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"11",2,"airyness","judgment_02_wood.png","image","cue_airyness.png","image","not flying","repetition","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"12",2,"animacy","judgment_02_bird.png","image","cue_animacy.png","image","living","switch","ArrowLeft","shifting_living.png","image","living",0,"ArrowRight","shifting_nonliving.png","image","non-living",1
"13",2,"airyness","judgment_02_fish.png","image","cue_airyness.png","image","not flying","switch","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"14",2,"animacy","judgment_02_banjo.png","image","cue_animacy.png","image","non-living","switch","ArrowLeft","shifting_living.png","image","living",0,"ArrowRight","shifting_nonliving.png","image","non-living",1
"15",2,"animacy","judgment_02_bench.png","image","cue_animacy.png","image","non-living","repetition","ArrowLeft","shifting_living.png","image","living",0,"ArrowRight","shifting_nonliving.png","image","non-living",1
"16",2,"airyness","judgment_02_bird.png","image","cue_airyness.png","image","flying","switch","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"17",2,"animacy","judgment_02_wood.png","image","cue_animacy.png","image","non-living","switch","ArrowLeft","shifting_living.png","image","living",0,"ArrowRight","shifting_nonliving.png","image","non-living",1
"18",2,"airyness","judgment_02_bench.png","image","cue_airyness.png","image","not flying","switch","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"19",2,"airyness","judgment_02_camel.png","image","cue_airyness.png","image","not flying","repetition","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"20",2,"animacy","judgment_02_fish.png","image","cue_animacy.png","image","living","switch","ArrowLeft","shifting_living.png","image","living",0,"ArrowRight","shifting_nonliving.png","image","non-living",1
"21",2,"airyness","judgment_02_bird.png","image","cue_airyness.png","image","flying","switch","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"22",2,"airyness","judgment_02_bench.png","image","cue_airyness.png","image","not flying","repetition","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"23",2,"airyness","judgment_02_crab.png","image","cue_airyness.png","image","not flying","repetition","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"24",2,"animacy","judgment_02_bench.png","image","cue_animacy.png","image","non-living","switch","ArrowLeft","shifting_living.png","image","living",0,"ArrowRight","shifting_nonliving.png","image","non-living",1
"25",2,"airyness","judgment_02_bird.png","image","cue_airyness.png","image","flying","switch","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"26",2,"airyness","judgment_02_kite.png","image","cue_airyness.png","image","flying","repetition","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"27",2,"animacy","judgment_02_bench.png","image","cue_animacy.png","image","non-living","switch","ArrowLeft","shifting_living.png","image","living",0,"ArrowRight","shifting_nonliving.png","image","non-living",1
"28",2,"airyness","judgment_02_bench.png","image","cue_airyness.png","image","not flying","switch","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"29",2,"airyness","judgment_02_camel.png","image","cue_airyness.png","image","not flying","repetition","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"30",2,"animacy","judgment_02_bird.png","image","cue_animacy.png","image","living","switch","ArrowLeft","shifting_living.png","image","living",0,"ArrowRight","shifting_nonliving.png","image","non-living",1
"31",2,"animacy","judgment_02_banjo.png","image","cue_animacy.png","image","non-living","repetition","ArrowLeft","shifting_living.png","image","living",0,"ArrowRight","shifting_nonliving.png","image","non-living",1
"32",2,"airyness","judgment_02_crab.png","image","cue_airyness.png","image","not flying","switch","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"33",2,"airyness","judgment_02_bird.png","image","cue_airyness.png","image","flying","repetition","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"34",2,"airyness","judgment_02_fish.png","image","cue_airyness.png","image","not flying","repetition","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"35",2,"airyness","judgment_02_bat.png","image","cue_airyness.png","image","flying","repetition","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"36",2,"airyness","judgment_02_butterfly.png","image","cue_airyness.png","image","flying","repetition","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"37",2,"animacy","judgment_02_wood.png","image","cue_animacy.png","image","non-living","switch","ArrowLeft","shifting_living.png","image","living",0,"ArrowRight","shifting_nonliving.png","image","non-living",1
"38",2,"airyness","judgment_02_camel.png","image","cue_airyness.png","image","not flying","switch","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"39",2,"airyness","judgment_02_banjo.png","image","cue_airyness.png","image","not flying","repetition","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"40",2,"animacy","judgment_02_crab.png","image","cue_animacy.png","image","living","switch","ArrowLeft","shifting_living.png","image","living",0,"ArrowRight","shifting_nonliving.png","image","non-living",1
"41",2,"animacy","judgment_02_fish.png","image","cue_animacy.png","image","living","repetition","ArrowLeft","shifting_living.png","image","living",0,"ArrowRight","shifting_nonliving.png","image","non-living",1
"42",2,"airyness","judgment_02_fish.png","image","cue_airyness.png","image","not flying","switch","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"43",2,"airyness","judgment_02_banjo.png","image","cue_airyness.png","image","not flying","repetition","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"44",2,"animacy","judgment_02_arrow.png","image","cue_animacy.png","image","non-living","switch","ArrowLeft","shifting_living.png","image","living",0,"ArrowRight","shifting_nonliving.png","image","non-living",1
"45",2,"airyness","judgment_02_kite.png","image","cue_airyness.png","image","flying","switch","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"46",2,"animacy","judgment_02_crab.png","image","cue_animacy.png","image","living","switch","ArrowLeft","shifting_living.png","image","living",0,"ArrowRight","shifting_nonliving.png","image","non-living",1
"47",2,"airyness","judgment_02_fish.png","image","cue_airyness.png","image","not flying","switch","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"48",2,"airyness","judgment_02_fish.png","image","cue_airyness.png","image","not flying","repetition","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"49",2,"animacy","judgment_02_fish.png","image","cue_animacy.png","image","living","switch","ArrowLeft","shifting_living.png","image","living",0,"ArrowRight","shifting_nonliving.png","image","non-living",1
"50",2,"animacy","judgment_02_arrow.png","image","cue_animacy.png","image","non-living","repetition","ArrowLeft","shifting_living.png","image","living",0,"ArrowRight","shifting_nonliving.png","image","non-living",1
"51",2,"animacy","judgment_02_arrow.png","image","cue_animacy.png","image","non-living","repetition","ArrowLeft","shifting_living.png","image","living",0,"ArrowRight","shifting_nonliving.png","image","non-living",1
"52",2,"animacy","judgment_02_balloon.png","image","cue_animacy.png","image","non-living","repetition","ArrowLeft","shifting_living.png","image","living",0,"ArrowRight","shifting_nonliving.png","image","non-living",1
"53",2,"animacy","judgment_02_banjo.png","image","cue_animacy.png","image","non-living","repetition","ArrowLeft","shifting_living.png","image","living",0,"ArrowRight","shifting_nonliving.png","image","non-living",1
"54",2,"animacy","judgment_02_butterfly.png","image","cue_animacy.png","image","living","repetition","ArrowLeft","shifting_living.png","image","living",0,"ArrowRight","shifting_nonliving.png","image","non-living",1
"55",2,"airyness","judgment_02_balloon.png","image","cue_airyness.png","image","flying","switch","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"56",2,"airyness","judgment_02_banjo.png","image","cue_airyness.png","image","not flying","repetition","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"57",2,"airyness","judgment_02_bat.png","image","cue_airyness.png","image","flying","repetition","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"58",2,"airyness","judgment_02_banjo.png","image","cue_airyness.png","image","not flying","repetition","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"59",2,"animacy","judgment_02_balloon.png","image","cue_animacy.png","image","non-living","switch","ArrowLeft","shifting_living.png","image","living",0,"ArrowRight","shifting_nonliving.png","image","non-living",1
"60",2,"airyness","judgment_02_butterfly.png","image","cue_airyness.png","image","flying","switch","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"61",2,"airyness","judgment_02_bird.png","image","cue_airyness.png","image","flying","repetition","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
"62",2,"animacy","judgment_02_kite.png","image","cue_animacy.png","image","non-living","switch","ArrowLeft","shifting_living.png","image","living",0,"ArrowRight","shifting_nonliving.png","image","non-living",1
"63",2,"animacy","judgment_02_bird.png","image","cue_animacy.png","image","living","repetition","ArrowLeft","shifting_living.png","image","living",0,"ArrowRight","shifting_nonliving.png","image","non-living",1
"64",2,"animacy","judgment_02_balloon.png","image","cue_animacy.png","image","non-living","repetition","ArrowLeft","shifting_living.png","image","living",0,"ArrowRight","shifting_nonliving.png","image","non-living",1
"65",2,"airyness","judgment_02_crab.png","image","cue_airyness.png","image","not flying","switch","ArrowLeft","shifting_flying.png","image","flying",0,"ArrowRight","shifting_notflying.png","image","not flying",1
